"","maker","model","mileage","manufacture_year","transmission","door_count","seat_count","displacement","horse_power","price"
"101","audi","a7",13807,2015,"auto","4.0","5.0",2.97,268,75750
"102","audi","a3",8606,2014,"man","4","5",1.6,109,24318
"103","audi","a6",11640,2014,"man","4.0","5.0",1.97,188,46660
"104","audi","a1",4966,2015,"man","2.0","5.0",1.42,89,18452
"105","audi","q5",115984,2009,"man","5.0","5.0",1.97,161,16965
"106","audi","a4",119598,2012,"auto","4.0","5.0",2.97,201,18535
"107","audi","a1",30385,2011,"man","2","4",1.2,84,14495
"108","audi","q7",30447,2013,"auto","4","7",2.97,241,44239
"109","audi","a3",47224,2010,"man","4.0","5.0",1.6,103,15204
"110","audi","a3",156151,2003,"man","5.0","5.0",1.9,129,3893
"111","audi","a3",52817,1999,"man","4.0","5.0",1.78,123,4037
"112","audi","a8",146022,2002,"auto","4","5",4.17,330,8179
"113","audi","coupe",17492,2015,"auto","2.0","4.0",2.97,241,53574
"114","audi","a4",116818,1997,"man","4.0","5.0",1.6,99,1638
"115","audi","a7",65865,2011,"auto","5.0","4.0",2.97,241,33918
"116","audi","a4",172120,1995,"man","4.0","5.0",1.6,99,760
"117","audi","a1",65244,2011,"man","2","4",1.6,103,15187
"118","audi","a1",12088,2015,"man","2","4",1.97,141,21609
"119","audi","a4",104390,2012,"auto","4.0","5.0",1.97,141,18603
"120","audi","90",6,2015,"man","None","5",1.97,13,43870
"121","audi","a3",103769,2001,"man","2","5",1.6,101,2868
"122","audi","a7",13546,2014,"auto","4","5",2.97,241,47861
"123","audi","a3",3728,2016,"auto","5.0","5.0",1.6,109,28664
"124","audi","a3",14366,2012,"man","2","4",1.8,158,23578
"125","audi","a3",142915,2007,"man","5.0","5.0",1.97,138,10998
"126","audi","a6",45919,2011,"auto","4","4",2.97,241,26182
"127","audi","a3",55923,2000,"man","4","5",1.6,99,5838
"128","audi","coupe",15701,2015,"auto","2","None",3,241,43228
"129","audi","s5",41632,2012,"auto","2","4",3,329,43238
"130","audi","a6",190761,2003,"auto","5","5",2.5,177,4287
"131","audi","a4",95258,2012,"man","4","5",1.97,174,14701
"132","audi","q5",77050,2011,"auto","4","5",1.97,168,27496
"133","audi","a6",143102,1999,"auto","5.0","5.0",2.5,148,1516
"134","audi","sq5",6,2015,"auto","4","5",2.97,308,58998
"135","audi","a2",105633,2001,"man","5.0","4.0",1.42,74,3498
"136","audi","a3",72079,2008,"man","2.0","5.0",1.9,103,9246
"137","audi","80",73632,1994,"man","4.0","5.0",1.98,89,1732
"138","audi","a4",70102,2013,"man","4.0","5.0",1.97,141,22113
"139","audi","a7",47224,2013,"auto","5.0","4.0",2.97,245,45618
"140","audi","80",89477,1992,"man","4","5",1.98,89,644
"141","audi","a3",80965,2005,"auto","3.0","5.0",1.98,148,8950
"142","audi","a7",74254,2011,"auto","4","4",2.97,295,33364
"143","audi","q3",8308,2015,"man","5.0","5.0",1.97,148,36849
"144","audi","a6-allroad",42378,2012,"auto","4","5",2.97,201,47853
"145","audi","q7",119303,2009,"auto","4.0","5.0",2.97,236,26793
"146","audi","a4",15534,2011,"man","4","5",1.8,118,20402
"147","audi","q7",23612,2012,"auto","4","5",2.97,241,40952
"148","audi","tt",114208,2004,"auto","2.0","4.0",4.16,339,14613
"149","audi","a4",42700,2009,"man","4.0","5.0",1.97,141,19773
"150","audi","a3",0,2015,"man","5.0","5.0",1.6,109,28361
"151","audi","a5",5055,2015,"man","2.0","4.0",1.97,188,35122
"152","audi","a3",39146,2012,"man","2","4",1.6,103,16731
"153","audi","a3",18828,2015,"man","4","5",1.6,109,28297
"154","audi","q3",29388,2014,"auto","4.0","5.0",1.97,174,34341
"155","audi","a1",5188,2014,"man","3.0","4.0",1.39,121,20452
"156","audi","q7",65865,2013,"auto","5.0","7.0",4.13,335,1516
"157","audi","a5",104879,2012,"auto","5.0","4.0",2.97,201,24547
"158","audi","a4",130488,2009,"auto","4","None",2.97,236,21764
"159","audi","a3",124243,1998,"man","2","5",1.78,123,2282
"160","audi","a6",151615,2016,"auto","None","None",2.5,148,2377
"161","audi","tt",3107,2015,"auto","4","5",2.48,362,48873
"162","audi","a3",185169,1999,"auto","2","5",1.9,138,1638
"163","audi","a3",99823,2005,"man","None","None",1.9,103,6924
"164","audi","q7",75186,2011,"auto","5.0","5.0",3,268,32643
"165","audi","a5",49088,2013,"auto","4.0","4.0",2.97,241,37382
"166","audi","a5",86930,2011,"auto","2","4",2.97,236,25527
"167","audi","q5",40398,2010,"auto","4.0","5.0",1.97,168,30993
"168","audi","a3",117601,2010,"man","2.0","5.0",1.97,138,10529
"169","audi","q3",553,2014,"man","5","5",1.97,138,32734
"170","audi","a6",114954,2003,"man","5","5",1.9,129,5153
"171","audi","q5",14093,2015,"auto","4.0","5.0",1.97,188,51234
"172","audi","rs7",12397,2014,"auto","4.0","4.0",3.99,553,102372
"173","audi","a4",8389,2014,"man","4.0","5.0",1.97,134,31356
"174","audi","a4",83388,2000,"auto","4","5",1.98,129,5031
"175","audi","a4",106876,2008,"man","4.0","5.0",1.97,141,13923
"176","audi","a3",49585,2010,"man","3.0","5.0",1.6,101,12869
"177","audi","a4",52009,2008,"man","2.0","4.0",1.78,161,18468
"178","audi","a3",16546,2015,"auto","4.0","5.0",1.2,109,23905
"179","audi","q3",0,2015,"man","5.0","5.0",1.97,148,36141
"180","audi","q3",25187,2012,"man","5.0","5.0",1.97,138,1516
"181","audi","s7",8044,2014,"auto","4","None",4,414,78595
"182","audi","a3",86627,2012,"man","4.0","5.0",1.97,138,13270
"183","audi","a4",60273,2006,"auto","2","4",1.78,161,12290
"184","audi","a8",122,2015,"auto","4","5",2.97,255,65577
"185","audi","a4",120755,2005,"man","5.0","5.0",1.9,114,1516
"186","audi","q3",61454,2012,"man","4","5",1.97,138,24087
"187","audi","a3",74645,2006,"man","4","5",1.97,138,11584
"188","audi","s3",41632,2009,"auto","2.0","5.0",1.98,261,26326
"189","audi","a3",77671,2005,"man","2.0","5.0",1.6,101,8778
"190","audi","a6-allroad",6235,2014,"auto","4","5",2.97,315,68139
"191","audi","a3",74627,2004,"man","3.0","5.0",1.6,101,5838
"192","audi","a3",15534,2014,"auto","4","5",1.4,109,26374
"193","audi","a6",135663,2009,"auto","4.0","5.0",3,286,15151
"194","audi","a6",58675,2012,"auto","5.0","5.0",2.97,308,38481
"195","audi","a1",3728,2015,"auto","2","4",1.4,123,22507
"196","audi","a3",4785,2015,"man","3.0","5.0",1.6,109,27483
"197","audi","a3",35418,2012,"auto","4","5",1.6,103,18141
"198","audi","coupe",27030,2011,"man","2.0","4.0",2.48,335,43215
"199","audi","s5",74565,2009,"auto","2","4",4.16,349,36261
"200","audi","a4",119303,2004,"man","4.0","5.0",1.9,129,3030
"100101","ford","mondeo",186411,1999,"man","4","5",1.75,89,878
"100102","ford","c-max",53196,2013,"man","4.0","5.0",1.6,123,12829
"100103","ford","fiesta",52270,2007,"man","2","None",1.3,68,6892
"100104","ford","ka",31757,2012,"man","4","None",2.2,153,17527
"100105","ford","s-max",16249,2013,"auto","4","5",2,161,30314
"100106","ford","focus",52797,2007,"man","5","5",1.8,123,5586
"100107","ford","mondeo",4648,2015,"auto","4.0","5.0",2,148,26534
"100108","ford","mondeo",86992,2009,"auto","4","5",2,138,9656
"100109","ford","mondeo",158325,2006,"man","4","5",2.2,153,3148
"100110","ford","fusion",105819,2008,"man","5","5",1.39,79,4893
"100111","ford","fiesta",26777,2014,"man","5.0","5.0",1.56,94,12578
"100112","ford","fiesta",68289,2009,"man","3.0","5.0",1.24,82,6435
"100113","ford","focus",54833,2010,"man","4","5",2,134,10767
"100114","ford","s-max",95930,2007,"man","5.0","5.0",2,143,1516
"100115","ford","b-max",31,2015,"man","5","5",1,99,15198
"100116","ford","fiesta",7071,2015,"man","5.0","5.0",1.24,80,12272
"100117","ford","tourneo-custom",6,2016,"man","5.0","8.0",2.2,153,38598
"100118","ford","galaxy",133211,2007,"man","5.0","7.0",1.75,123,1516
"100119","ford","focus",144021,1999,"man","None","None",1.8,89,2161
"100120","ford","focus",27962,2012,"man","4","5",1.6,103,14379
"100121","ford","thunderbird",62136,1965,"auto","2","None",6.4,296,15153
"100122","ford","fiesta",16131,2011,"man","4.0","5.0",1.24,80,10486
"100123","ford","mondeo",19760,2012,"man","4.0","5.0",1.6,158,20855
"100124","ford","galaxy",138566,2004,"man","5.0","7.0",1.9,129,4287
"100125","ford","mondeo",90054,2007,"man","5.0","5.0",1.8,123,1516
"100126","ford","galaxy",119762,1998,"man","5.0","7.0",2.3,143,1516
"100127","ford","fiesta",16091,2011,"man","5.0","5.0",1.24,59,10413
"100128","ford","focus",96934,2012,"man","4","5",1.56,114,9632
"100129","ford","mustang",24855,2013,"auto","2","4",3.72,304,33922
"100130","ford","mustang",23488,2011,"auto","2.0","4.0",5,418,31578
"100131","ford","fiesta",17818,2014,"man","4","5",1,79,10325
"100132","ford","fiesta",25787,2014,"man","3.0","4.0",1.6,180,18714
"100133","ford","s-max",6,2015,"auto","4","7",2,177,38346
"100134","ford","transit",23612,2012,"man","4.0","6.0",2.2,138,1516
"100135","ford","fiesta",36798,2013,"man","4","None",1.24,110,7365
"100136","ford","tourneo-connect",7394,2014,"man","4","5",1.56,94,17438
"100137","ford","mondeo",105012,2002,"man","4.0","5.0",2.97,223,5742
"100138","ford","mondeo",108740,2000,"man","4.0","5.0",1.75,87,1814
"100139","ford","focus",17268,2012,"man","4.0","5.0",1.6,103,14028
"100140","ford","mondeo",122261,2008,"auto","5.0","5.0",2,138,2555
"100141","ford","focus",20174,2013,"man","5.0","5.0",1.56,103,14028
"100142","ford","focus",193174,2000,"man","5.0","2.0",1.75,89,1170
"100143","ford","focus",35111,2013,"man","5.0","5.0",1.56,114,14602
"100144","ford","fusion",114332,2004,"man","4","5",1.6,99,3359
"100145","ford","galaxy",55704,2013,"man","5.0","7.0",1.6,158,30356
"100146","ford","ka",85128,1998,"man","3","4",1.3,59,563
"100147","ford","c-max",17902,2015,"man","4.0","5.0",1.5,118,19562
"100148","ford","focus",38836,2011,"man","4","5",1.6,123,13984
"100149","ford","focus",55923,2005,"man","4.0","5.0",1.6,114,5265
"100150","ford","focus",15184,2011,"man","4","5",1.6,148,15203
"100151","ford","focus",139331,2005,"man","5.0","5.0",1.6,107,1516
"100152","ford","c-max",11123,2013,"man","None","None",1,123,14709
"100153","ford","tourneo-connect",3480,2015,"man","4","7",1.56,114,22568
"100154","ford","kuga",1802,2015,"auto","4.0","5.0",2,148,34436
"100155","ford","fiesta",64001,2005,"man","5.0","5.0",1.4,67,3744
"100156","ford","galaxy",103148,2014,"auto","5.0","7.0",2,161,1516
"100157","ford","fiesta",6,2016,"man","4.0","5.0",1.24,80,11412
"100158","ford","fiesta",54383,2007,"man","5.0","5.0",1.3,68,1516
"100159","ford","mondeo",19946,2014,"man","5.0","5.0",2,138,1516
"100160","ford","focus",80778,2006,"man","2","5",2,134,6427
"100161","ford","focus",62,2015,"man","4.0","5.0",1.5,148,23985
"100162","ford","kuga",53438,2010,"man","5","5",2,138,19773
"100163","ford","fusion",83050,2006,"auto","5.0","5.0",1.6,99,4759
"100164","ford","galaxy",45360,2010,"man","5.0","7.0",2,138,17433
"100165","ford","mondeo",186,2016,"auto","5.0","5.0",2,177,40892
"100166","ford","fiesta",112134,1995,"man","3.0","5.0",1.12,50,585
"100167","ford","maverick",82953,2003,"man","4.0","5.0",1.99,122,5488
"100168","ford","kuga",5903,2014,"man","4","5",1.6,148,25165
"100169","ford","s-max",101656,2006,"man","5","5",2,138,10413
"100170","ford","c-max",62137,2009,"man","5.0","5.0",1.6,89,8541
"100171","ford","fiesta",15596,2012,"man","4","5",1.24,80,9946
"100172","ford","focus",118060,2003,"man","4","5",1.75,114,1112
"100173","ford","galaxy",118539,2010,"man","5.0","7.0",2,138,1516
"100174","ford","focus",133595,2002,"man","2","5",1.39,74,1346
"100175","ford","fiesta",5630,2015,"man","5.0","5.0",1.24,82,12858
"100176","ford","c-max",7526,2015,"man","4.0","5.0",2,148,18148
"100177","ford","fiesta",27340,2012,"man","3.0","5.0",1.24,80,7546
"100178","ford","c-max",18635,2014,"man","5.0","5.0",1.56,114,19176
"100179","ford","kuga",38214,2012,"man","5.0","5.0",2,138,1516
"100180","ford","mondeo",28086,2007,"man","5.0","5.0",2,143,15210
"100181","ford","grand-c-max",82962,2011,"auto","5.0","7.0",2,114,1516
"100182","ford","galaxy",174,2015,"auto","5","7",2,207,46156
"100183","ford","c-max",364,2015,"man","4","5",1.5,148,29487
"100184","ford","mondeo",117194,2008,"man","5.0","5.0",2,138,1516
"100185","ford","c-max",5786,2015,"man","4.0","5.0",1.6,123,18662
"100186","ford","s-max",192625,2008,"man","5.0","7.0",2,114,1516
"100187","ford","tourneo-connect",169013,2006,"man","4.0","5.0",1.75,89,3498
"100188","ford","c-max",14913,2015,"man","5.0","5.0",1,123,22054
"100189","ford","focus",131209,2000,"man","5.0","5.0",1.6,99,2106
"100190","ford","focus",83477,2013,"man","4.0","5.0",1.56,114,9699
"100191","ford","focus",9548,2013,"man","4","5",1,123,13226
"100192","ford","focus",49337,2008,"man","2.0","4.0",2,143,12243
"100193","ford","focus",76809,2009,"man","5.0","5.0",1.6,114,1516
"100194","ford","s-max",3,2015,"auto","4","5",2,148,32450
"100195","ford","mondeo",132676,2001,"man","4","5",1.8,123,2282
"100196","ford","ka",60894,2005,"man","3.0","4.0",1.3,68,3498
"100197","ford","focus",78293,2013,"man","5.0","5.0",2,138,6015
"100198","ford","c-max",60298,2008,"auto","4.0","5.0",2,134,9251
"100199","ford","focus",13981,2013,"man","5.0","5.0",1,99,13689
"100200","ford","fiesta",41632,2000,"man","3.0","5.0",1.3,50,2340
"200101","volkswagen","multivan",64623,2009,"man","4.0","5.0",1.9,101,23416
"200102","volkswagen","golf",114514,2000,"man","5.0","5.0",1.39,74,1516
"200103","volkswagen","multivan",68351,2003,"man","4.0","7.0",1.9,103,22230
"200104","volkswagen","up",1935,2015,"man","2.0","4.0",1,59,13911
"200105","volkswagen","polo",6027,2015,"man","4.0","5.0",1.42,74,13815
"200106","volkswagen","golf",16446,2015,"man","4.0","5.0",1.4,148,20093
"200107","volkswagen","golf",56167,2010,"man","5.0","5.0",1.6,103,12753
"200108","volkswagen","golf",107448,2012,"auto","5.0","5.0",1.97,138,16263
"200109","volkswagen","caddy",10467,2015,"man","5.0","7.0",1.97,101,26618
"200110","volkswagen","golf",14851,2015,"man","4.0","5.0",1.6,109,17338
"200111","volkswagen","polo",7521,2015,"man","5.0","5.0",1.2,89,17199
"200112","volkswagen","transporter",90099,2009,"man","4.0","2.0",1.9,101,8716
"200113","volkswagen","golf",53304,2005,"man","5.0","5.0",1.6,101,1905
"200114","volkswagen","cc",82642,2013,"auto","5.0","5.0",1.97,168,1516
"200115","volkswagen","passat",45981,2012,"auto","5.0","5.0",1.97,138,17082
"200116","volkswagen","golf",4847,2015,"man","4.0","5.0",1.2,84,16121
"200117","volkswagen","passat",175848,2007,"man","5.0","5.0",1.97,138,1516
"200118","volkswagen","phaeton",124896,2006,"auto","4.0","5.0",2.97,221,12636
"200119","volkswagen","polo",50642,2010,"man","4.0","5.0",1.39,84,8202
"200120","volkswagen","caddy",124,2015,"man","4.0","7.0",1.97,138,33918
"200121","volkswagen","passat",23115,2011,"man","4.0","5.0",1.4,121,18135
"200122","volkswagen","scirocco",86992,2009,"auto","3.0","4.0",1.97,138,15795
"200123","volkswagen","passat",120981,2013,"man","5.0","5.0",1.97,138,1516
"200124","volkswagen","tiguan",50345,2010,"man","5.0","5.0",1.97,138,20580
"200125","volkswagen","touran",93355,2010,"auto","5.0","7.0",2,138,1516
"200126","volkswagen","golf-sportsvan",5169,2015,"auto","4.0","5.0",1.2,109,25371
"200127","volkswagen","beetle",4287,2015,"auto","2.0","4.0",1.98,217,24236
"200128","volkswagen","caddy",4350,2014,"man","4.0","5.0",1.97,138,25664
"200129","volkswagen","golf",90733,2001,"man","5.0","5.0",1.9,109,4025
"200130","volkswagen","touran",35418,2003,"man","4.0","5.0",1.97,138,8307
"200131","volkswagen","golf-sportsvan",2796,2014,"man","4.0","5.0",1.2,109,21025
"200132","volkswagen","golf",82837,2012,"man","5.0","5.0",1.6,103,5153
"200133","volkswagen","passat",35502,2010,"auto","5.0","5.0",1.8,158,19773
"200134","volkswagen","polo",121167,2003,"man","3.0","5.0",1.2,63,1053
"200135","volkswagen","passat",8897,2016,"man","5.0","5.0",2,148,1516
"200136","volkswagen","polo",82021,2002,"man","2.0","5.0",1,50,2808
"200137","volkswagen","caddy",141051,2005,"man","5.0","5.0",1.9,103,1516
"200138","volkswagen","golf-sportsvan",11671,2014,"man","4.0","5.0",1.6,109,19572
"200139","volkswagen","touran",60646,2012,"man","4.0","5.0",1.6,103,14269
"200140","volkswagen","polo",78293,2006,"man","3.0","5.0",1.42,79,5265
"200141","volkswagen","sharan",77671,2004,"man","5.0","5.0",1.9,114,3744
"200142","volkswagen","eos",61019,2007,"man","2.0","4.0",1.98,148,10782
"200143","volkswagen","passat",133533,2007,"man","5.0","5.0",1.97,138,5543
"200144","volkswagen","golf",82928,2004,"man","4.0","5.0",1.6,101,9068
"200145","volkswagen","tiguan",55457,2010,"man","5.0","5.0",1.39,148,17084
"200146","volkswagen","sharan",150993,2000,"man","5.0","7.0",1.9,109,1516
"200147","volkswagen","touran",24855,2009,"man","4.0","5.0",1.6,101,13385
"200148","volkswagen","golf",92297,2010,"man","5.0","5.0",1.6,103,11115
"200149","volkswagen","multivan",8096,2016,"man","4.0","7.0",1.97,148,1516
"200150","volkswagen","tiguan",6142,2016,"auto","5.0","5.0",1.97,188,1516
"200151","volkswagen","caddy",67108,2010,"man","5.0","7.0",1.9,103,14040
"200152","volkswagen","passat",25352,2013,"man","4.0","5.0",1.97,138,23140
"200153","volkswagen","golf-sportsvan",1,2015,"man","5.0","5.0",1.6,109,26313
"200154","volkswagen","polo",18517,2005,"auto","4.0","5.0",1.39,74,8131
"200155","volkswagen","touareg",141330,2004,"auto","5.0","5.0",2.46,172,11501
"200156","volkswagen","sharan",77671,2005,"man","4.0","5.0",1.78,148,8073
"200157","volkswagen","bora",176487,1999,"man","4.0","5.0",1.98,114,1346
"200158","volkswagen","golf",52692,2012,"man","4.0","5.0",1.6,103,11792
"200159","volkswagen","caravelle",106876,2008,"auto","4.0","7.0",2.46,129,17457
"200160","volkswagen","caddy",98798,2011,"man","4.0","2.0",1.6,101,8151
"200161","volkswagen","golf-sportsvan",6234,2015,"man","4.0","5.0",1.2,84,18185
"200162","volkswagen","golf",111847,1999,"man","4.0","5.0",1.39,74,1582
"200163","volkswagen","golf",46216,2010,"man","2.0","5.0",1.97,168,17549
"200164","volkswagen","passat",92584,2007,"auto","5.0","5.0",1.97,168,7254
"200165","volkswagen","polo",1,2015,"man","5.0","5.0",1,74,16134
"200166","volkswagen","multivan",5095,2015,"auto","4.0","7.0",1.98,201,67743
"200167","volkswagen","golf",7705,2014,"man","5.0","5.0",1.4,121,18112
"200168","volkswagen","passat",38525,2012,"man","5.0","5.0",1.39,121,16380
"200169","volkswagen","passat",99357,2003,"man","4.0","5.0",1.98,114,3514
"200170","volkswagen","polo",96934,2005,"man","3.0","5.0",1.2,54,4538
"200171","volkswagen","passat",124274,2000,"man","4.0","5.0",1.78,148,2340
"200172","volkswagen","touareg",33554,2012,"auto","5.0","5.0",2.97,241,1516
"200173","volkswagen","polo",41632,2003,"man","3.0","5.0",1.2,54,4622
"200174","volkswagen","passat",11353,2016,"auto","5.0","5.0",2,148,1516
"200175","volkswagen","passat-cc",60894,2010,"man","4.0","4.0",1.98,197,16368
"200176","volkswagen","touareg",86992,2004,"auto","4.0","5.0",4.92,308,11583
"200177","volkswagen","caravelle",67215,2011,"man","4.0","9.0",1.97,138,29238
"200178","volkswagen","beetle",119303,1999,"man","3.0","4.0",1.9,89,4914
"200179","volkswagen","touran",58926,2011,"auto","4.0","7.0",1.6,103,21088
"200180","volkswagen","beetle",43863,2011,"man","3.0","4.0",1.2,103,16251
"200181","volkswagen","golf",62138,2008,"auto","5.0","5.0",1.97,138,8839
"200182","volkswagen","touran",28086,2012,"man","4.0","7.0",1.39,138,17712
"200183","volkswagen","lupo",82642,2003,"man","2.0","4.0",1,50,2750
"200184","volkswagen","passat",8699,2013,"auto","4.0","5.0",3.6,295,34287
"200185","volkswagen","golf",87613,2004,"man","3.0","5.0",1.39,89,3854
"200186","volkswagen","multivan",12117,2014,"auto","4.0","6.0",2,138,39751
"200187","volkswagen","caddy",110604,2006,"man","5.0","5.0",1.39,74,6505
"200188","volkswagen","golf",11402,2016,"auto","5.0","5.0",1.97,148,1516
"200189","volkswagen","golf",9401,2015,"man","4.0","5.0",1.6,109,23342
"200190","volkswagen","golf",119614,2002,"man","4.0","5.0",1.6,103,4072
"200191","volkswagen","bora",163421,2000,"man","4.0","5.0",1.9,114,2511
"200192","volkswagen","golf",46354,2009,"man","4.0","5.0",1.39,158,11602
"200193","volkswagen","golf",10430,2014,"man","2.0","5.0",1.2,103,18239
"200194","volkswagen","multivan",64413,2005,"auto","5.0","6.0",2.5,172,1516
"200195","volkswagen","golf",82021,1998,"auto","4.0","5.0",2.32,148,3275
"200196","volkswagen","touran",169013,2004,"man","4.0","7.0",1.97,134,4668
"200197","volkswagen","touran",130488,2003,"man","4.0","5.0",1.9,99,5206
"200198","volkswagen","polo",63380,2008,"man","5.0","5.0",1.39,79,5850
"200199","volkswagen","golf",31690,2012,"auto","2.0","5.0",1.98,208,23283
"200200","volkswagen","golf",75497,2006,"man","2.0","5.0",1.39,79,6432
